produce_type,color,size,ripeness,moisture_loss,blemish_ratio,density_score,grade
banana,66.66,79.93,69.24,27.37,0.253,74.71,B
carrot,85.19,80.14,75.86,26.65,0.219,75.9,A
cucumber,76.64,100.0,57.43,46.48,0.291,66.89,C
banana,84.15,89.24,71.72,24.4,0.129,78.84,A
cucumber,70.64,77.87,95.05,0.0,0.206,92.49,B
cucumber,75.12,77.34,74.22,27.04,0.223,78.31,B
carrot,73.47,55.42,94.76,4.19,0.299,77.47,C
banana,86.25,81.91,82.21,12.02,0.079,81.55,A
orange,99.38,86.5,64.54,33.83,0.013,75.18,B
carrot,82.08,82.82,53.75,33.35,0.161,71.09,C
banana,96.55,81.44,97.72,9.2,0.087,83.56,A
carrot,78.26,96.67,80.36,22.97,0.148,98.11,A
banana,48.08,77.79,36.84,56.65,0.647,55.41,C
apple,56.58,82.3,61.64,43.55,0.39,73.32,C
orange,100.0,88.04,73.67,24.57,0.0,77.05,A
orange,66.17,100.0,67.16,20.07,0.28,88.22,B
cucumber,75.99,96.04,63.57,40.23,0.207,82.68,B
cucumber,72.13,79.1,89.12,15.37,0.27,81.75,B
apple,86.84,77.31,65.55,40.6,0.137,70.61,B
cucumber,79.72,86.05,75.09,32.13,0.266,83.23,A
orange,78.13,90.28,92.07,14.04,0.265,94.33,A
cucumber,100.0,75.52,73.52,25.2,0.0,64.58,B
banana,62.61,84.04,53.25,50.47,0.335,62.96,C
apple,80.92,73.59,66.81,34.22,0.231,66.11,B
carrot,78.35,88.47,99.4,0.0,0.201,99.82,A
orange,100.0,70.08,64.18,38.11,0.0,63.33,B
cucumber,100.0,66.29,99.97,0.0,0.017,91.08,C
banana,82.88,78.43,87.49,11.47,0.197,81.94,B
cucumber,57.09,69.84,53.46,46.2,0.353,58.19,C
banana,61.39,99.76,60.15,32.13,0.399,88.39,C
apple,77.42,97.49,90.05,12.5,0.197,96.05,A
tomato,57.59,74.52,98.9,8.91,0.446,77.06,C
orange,67.81,79.94,55.99,42.53,0.41,69.97,C
apple,81.28,69.79,49.78,42.85,0.103,60.16,C
tomato,63.52,83.78,99.5,12.24,0.403,90.77,C
carrot,89.07,98.22,43.88,65.01,0.082,68.38,C
cucumber,82.8,68.66,71.44,31.71,0.183,71.96,C
carrot,73.14,90.32,92.9,13.08,0.29,96.31,B
orange,100.0,96.62,74.58,19.95,0.0,83.94,A
cucumber,85.67,73.6,95.07,0.0,0.062,83.66,B
banana,59.13,74.36,63.82,36.24,0.378,66.39,C
banana,77.93,94.17,99.53,1.35,0.232,95.94,A
orange,83.85,97.91,45.78,52.81,0.178,71.71,C
orange,63.91,66.41,88.9,6.56,0.273,81.94,C
carrot,76.26,71.03,74.18,33.11,0.157,64.79,B
carrot,68.58,81.68,68.06,35.8,0.369,76.26,B
tomato,82.08,82.11,55.3,38.53,0.112,67.97,C
cucumber,81.48,64.61,77.16,17.59,0.132,67.76,C
banana,87.1,79.98,89.04,8.3,0.109,93.88,B
